latitude,longitude,floorSize,price,url
39.252922,-94.571526,1656,330000,https://www.zillow.com/homedetails/701-NE-88th-St-Kansas-City-MO-64155/66412158_zpid/
39.28693,-94.595634,1649,376700,https://www.zillow.com/community/holly-farms/341193974_zpid/
39.052692,-94.54595,1600,185000,https://www.zillow.com/homedetails/4014-College-Ave-Kansas-City-MO-64130/2356616_zpid/
39.21143,-94.63805,1698,319000,https://www.zillow.com/homedetails/6407-N-Kirkwood-Ave-Kansas-City-MO-64151/2493135_zpid/
39.293766,-94.464226,1649,373600,https://www.zillow.com/community/somerbrook/341193941_zpid/
39.22025,-94.50049,1649,374200,https://www.zillow.com/community/meadows-at-searcy-creek/2052955764_zpid/
38.95562,-94.59279,1608,180000,https://www.zillow.com/homedetails/111-W-Bannister-Rd-3-Kansas-City-MO-64114/341340021_zpid/
38.95178,-94.58883,3200,439000,https://www.zillow.com/homedetails/207-E-97th-St-Kansas-City-MO-64131/2431351_zpid/
39.26255,-94.623184,1789,425000,https://www.zillow.com/homedetails/3704-NW-95th-St-Kansas-City-MO-64154/2078185547_zpid/
39.178226,-94.57116,3094,325000,https://www.zillow.com/homedetails/716-NE-46th-Ter-Kansas-City-MO-64116/66444785_zpid/
39.10448,-94.575424,914,110000,https://www.zillow.com/homedetails/600-E-8th-St-APT-5B-Kansas-City-MO-64106/66864327_zpid/
39.258667,-94.546,3347,682500,https://www.zillow.com/homedetails/9186-N-Montgall-Ave-Kansas-City-MO-64156/339936917_zpid/
39.05315,-94.52641,3102,399900,https://www.zillow.com/homedetails/4927-S-Park-Ridge-Dr-Blue-Springs-MO-64015/2072302920_zpid/
39.170624,-94.588196,2478,508000,https://www.zillow.com/homedetails/421-NW-Briarcliff-Rd-Kansas-City-MO-64116/66444360_zpid/
38.98288,-94.59137,1088,275000,https://www.zillow.com/homedetails/103-W-80th-St-Kansas-City-MO-64114/2424896_zpid/
39.053738,-94.54955,1464,65000,https://www.zillow.com/homedetails/2912-E-40th-St-Kansas-City-MO-64130/2356348_zpid/
39.061108,-94.60694,1990,320000,https://www.zillow.com/homedetails/3629-State-Line-Rd-Kansas-City-MO-64111/2343075_zpid/
38.928852,-94.509575,888,184900,https://www.zillow.com/homedetails/10722-Cambridge-Ave-Kansas-City-MO-64134/2464388_zpid/
38.910316,-94.508835,1902,269000,https://www.zillow.com/homedetails/11710-Corrington-Ave-Kansas-City-MO-64134/2467688_zpid/
38.865456,-94.56456,6395,11000000,https://www.zillow.com/homedetails/14400-Prospect-Ave-Kansas-City-MO-64146/2061241963_zpid/
39.07314,-94.58712,833,252500,https://www.zillow.com/homedetails/2940-Baltimore-Ave-APT-1304-Kansas-City-MO-64108/113969784_zpid/
39.259098,-94.5454,3347,672500,https://www.zillow.com/homedetails/9199-N-Chestnut-Ave-Kansas-City-MO-64156/2053963986_zpid/
39.041164,-94.604164,1320,425000,https://www.zillow.com/homedetails/4743-Fairmount-Ave-Kansas-City-MO-64112/2345271_zpid/
39.02193,-94.57493,2125,299900,https://www.zillow.com/homedetails/5745-Harrison-St-Kansas-City-MO-64110/2352512_zpid/
38.981747,-94.49676,1712,199000,https://www.zillow.com/homedetails/7842-Smalley-Ave-Kansas-City-MO-64138/2407273_zpid/
39.100803,-94.581726,854,325000,https://www.zillow.com/homedetails/1101-Walnut-St-UNIT-808-Kansas-City-MO-64106/70895414_zpid/
39.044964,-94.60683,1404,399950,https://www.zillow.com/homedetails/4536-Bell-St-Kansas-City-MO-64111/2344976_zpid/
